"ID";"DTM";"P";"T";"RM"
"HRADISTE";1916-08-15;131.23;14.243;48.989
"HRADISTE";1916-09-15;82.53;10.023;39.508
"HRADISTE";1916-10-15;196.41;6.215;94.239
"HRADISTE";1916-11-15;35.42;1.867;51.779
"HRADISTE";1916-12-15;34.8;-0.426;46.101
"HRADISTE";1917-01-15;45.77;-5.534;36.076
"HRADISTE";1917-02-15;38.97;-6.888;28.122
"HRADISTE";1917-03-15;33.48;-1.54;28.28
"HRADISTE";1917-04-15;96.61;2.227;77.324
"HRADISTE";1917-05-15;61.18;12.458;32.102
"HRADISTE";1917-06-15;180.8;16.696;62.306
"HRADISTE";1917-07-15;177.44;15.959;63.9
"HRADISTE";1917-08-15;101.75;15.627;37.713
"HRADISTE";1917-09-15;85.84;13.119;34.624
"HRADISTE";1917-10-15;45.49;5.997;28.424
"HRADISTE";1917-11-15;50.38;1.41;32.73
"HRADISTE";1917-12-15;48.71;-5.483;24.737
"HRADISTE";1918-01-15;54.6;-3.503;23.216
"HRADISTE";1918-02-15;16.17;-2.044;23.214
"HRADISTE";1918-03-15;53.08;1.894;51.987
"HRADISTE";1918-04-15;130.78;7.83;67.877
"HRADISTE";1918-05-15;35.63;11.561;31.65
"HRADISTE";1918-06-15;58.86;11.511;25.137
"HRADISTE";1918-07-15;118.23;14.357;23.496
"HRADISTE";1918-08-15;102.75;14.72;18.927
"HRADISTE";1918-09-15;32.93;12.136;10.94
"HRADISTE";1918-10-15;72.85;6.874;11.585
"HRADISTE";1918-11-15;45.62;-0.03;15.461
"HRADISTE";1918-12-15;32.87;0.024;24.822
"HRADISTE";1919-01-15;35.94;-1.394;19.234
"HRADISTE";1919-02-15;32.89;-4.233;17.285
"HRADISTE";1919-03-15;25.28;1.303;29.178
"HRADISTE";1919-04-15;41.04;3.695;17.318
"HRADISTE";1919-05-15;86.12;7.883;22.583
"HRADISTE";1919-06-15;85.65;12.843;17.88
"HRADISTE";1919-07-15;196.36;12.914;55.376
"HRADISTE";1919-08-15;96.03;14.687;27.24
"HRADISTE";1919-09-15;54.45;12.746;17.416
"HRADISTE";1919-10-15;82.21;4.95;31.183
"HRADISTE";1919-11-15;40.52;-1.413;25.203
"HRADISTE";1919-12-15;36.38;-2.308;23.957
"HRADISTE";1920-01-15;37.73;-0.65;25.044
"HRADISTE";1920-02-15;31.64;-0.858;25.261
"HRADISTE";1920-03-15;88.43;3.334;59.419
"HRADISTE";1920-04-15;105.93;8.301;46.933
"HRADISTE";1920-05-15;71.84;12.629;31.457
